title;prix;adresse;image_url
Ensemble chemise;8 000 CFA;Dakar, Sénégal;https://sn.coinafrique.com/annonce/vetements-homme/ensemble-chemise-5109611
Ensemble short;5 500 CFA;Dakar, Sénégal;https://sn.coinafrique.com/annonce/vetements-homme/ensemble-en-lin-5571613
Costume africaine;30 000 CFA;Ouakam, Dakar, Sénégal;https://sn.coinafrique.com/annonce/vetements-homme/costumes-africains-hommes-3898206
Jackets homme;12 000 CFA;Diamalaye 1, Dakar, Sénégal;https://sn.coinafrique.com/annonce/vetements-homme/jackets-homme-3956954
Vêtements homme;10 000 CFA;Yoff, Dakar, Sénégal;https://sn.coinafrique.com/annonce/vetements-homme/ensemble-homme-3661182
Jeans homme;15 000 CFA;Parcelle Assainies, Dakar, Sénégal;https://sn.coinafrique.com/annonce/vetements-homme/jeans-homme-5647705
Jeans homme;15 000 CFA;Parcelle Assainies, Dakar, Sénégal;https://sn.coinafrique.com/annonce/vetements-homme/jeans-homme-5647705
Ensemble courte manche homme;9 000 CFA;Parcelle Assainies, Dakar, Sénégal;https://sn.coinafrique.com/annonce/vetements-homme/vetements-accessoires-homme-2856401
Blouson;25 000 CFA;Medina, Dakar, Sénégal;https://sn.coinafrique.com/annonce/vetements-homme/blousons-homme-3729076
Ensembles blouson;25 000 CFA;Guediawaye, Dakar, Sénégal;https://sn.coinafrique.com/annonce/vetements-homme/ensemble-blouson-4048060
Polos homme;2 800 CFA;Point E, Dakar, Sénégal;https://sn.coinafrique.com/annonce/vetements-homme/polos-lacoste-homme-3860138
Costume wax homme;Prix sur demande;Guediawaye, Dakar, Sénégal;
Demi grand boubou homme;65 000 CFA;Guediawaye, Dakar, Sénégal;https://sn.coinafrique.com/annonce/vetements-homme/vetements-homme-4171394
Caleçons;5 000 CFA;Dakar, Sénégal;https://sn.coinafrique.com/annonce/vetements-homme/calecons-5663521
Quarter zip;Prix sur demande;Fass, Dakar, Sénégal;
Spencer;Prix sur demande;Fass, Dakar, Sénégal;https://sn.coinafrique.com/annonce/vetements-homme/pull-spencer-homme-3620712
Vêtements homme;300 CFA;Mermoz-Sacré Coeur, Dakar, Sénégal;https://sn.coinafrique.com/annonce/vetements-homme/ensemble-homme-3661182
Ensemble blouson en coton;13 000 CFA;Dakar Plateau, Dakar, Sénégal;https://sn.coinafrique.com/annonce/vetements-homme/ensemble-blouson-homme-2753475
Emsemble 100℅ coton;15 000 CFA;Colobane, Dakar, Sénégal;
